text,label
11,0
t,0
repahC,0
74,0
UNFCCC Handbook,0
"Mitigating climate changeMitigating climate change and its impacts lies at the heart of the Convention’sobjective. Stabilizing  GHG  concentrations  in  the  atmosphere  at  a  level  thatwould prevent dangerous anthropogenic interference with the climate system,which  is  the  ultimate  objective  ofthe  Convention  (see  chapter  1), can  beachieved  in  two  ways. The  first  is  by  limiting  or, as  appropriate, reducinganthropogenic GHG emissions by sources and the second by preserving or, asappropriate, enhancing sinks and reservoirs of GHGs.",0
"the  Convention, Article  1  defines  a  source as  “anyFor  the  purposes  ofprocess  or  activity  which  releases  a  greenhouse  gas, an  aerosol  or  aprecursor of a greenhouse gas into the atmosphere”; a sink as “any process,activity  or  mechanism  which  removes  a  greenhouse  gas, an  aerosol  or  aprecursor of a greenhouse gas from the atmosphere” and a reservoir as “acomponent or components of the climate system where a greenhouse gasor a precursor of a greenhouse gas is stored”. Climate system is defined asthe  totality  of the  atmosphere, geosphere, hydrosphere  and  biosphere  andtheir  interactions, thus  including  not  only  the  atmosphere, but  also  earth,water, and living organisms.",0
"This chapter discusses the provisions and activities related to mitigation underthe climate change process. Section 11.A addresses commitments relevant toall Parties, while section 11.B addresses those that are relevant specifically toAnnex  I  Parties; section  11.C  refers  to  activities  by  non-Annex  I  Parties  inconnection with their national communications; and section 11.D reviews otherareas. Some aspects of the Kyoto Protocol that are closely related to the topicsdiscussed  in  this  chapter  are  addressed  in  Box  11.2  (Kyoto  flexibilitymechanisms), Box 11.3 (LULUCF) and Box 11.4 (core elements of the KyotoProtocol). Box 11.5 addresses the so-called Brazilian proposal for distributingemission targets on the basis of historical contributions to climate change.",0
"11.A. Measures to mitigate climate change: all Parties11.A.1. General policy aspects of mitigationArticle  3.3  stipulates  that  Parties  should  take  precautionary  measures  toanticipate, prevent or minimize the causes of climate change and mitigate itsadverse effects. In order to ensure global benefits at the least possible cost, suchpolicies  and  measures  should  take  into  account  different  socio-economiccontexts, be comprehensive, cover all relevant sources, sinks and reservoirs ofGHGs and adaptation (see chapter 12) and comprise all economic sectors. Inaddition, they may be carried out cooperatively by interested Parties.",0
The Convention addresses the full range of GHGs with the exception of thosewhich  are  already  controlled  by  the  Montreal  Protocol  on  Substances  thatDeplete the Ozone Layer (see chapter 4 on the Montreal Protocol and chapter18 on relevant gases).,0
General  commitments  of Parties  to  mitigate  climate  change  are  included  inArticle 4.1 (for all Parties) and more specific commitments are in Article 4.2 (forAnnex I Parties). The Convention draws attention to the different needs and,0
Mitigating climate change,0
11,0
"capacities of Parties in the implementation of the commitments contained inArticle 4.1. The article is premised on the need to take into account Parties’“common  but  differentiated  responsibilities  and  their  specific  national  andregional  development  priorities, objectives  and  circumstances”. Article  4.2(a)also  calls  for  differentiation  among  the  Annex  I  Parties, stating  that  accountshould  be  taken  of “the  differences  in  these  Parties’ starting  points  andapproaches, economic  structures  and  resource  bases, the  need  to  maintainstrong  and  sustainable  economic  growth, available  technologies  and  otherindividual circumstances”.",0
"Article 4.1(b) calls on all Parties to “formulate, implement, publish and regularlyupdate  national  and, where  appropriate, regional  programmes  containingmeasures to mitigate climate change by addressing anthropogenic emissionsby sources and removals by sinks of all greenhouse gases not controlled by theMontreal Protocol”.",0
